plot,plot_section,plot_section_label,month_order,month,survey_date,observation_source,genet,species,is_baseline_genet,present,surviving_from_baseline,died_from_baseline_this_month,area,area_m2,plot_area_m2,percent_cover_of_plot,taglab_area_units
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__0,Porites porites,TRUE,TRUE,TRUE,FALSE,7.7175,7.7175e-4,480,1.6078124999999998e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__1,Porites porites,TRUE,TRUE,TRUE,FALSE,11.3925,0.00113925,480,2.3734375000000003e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__10,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,4.6,4.5999999999999996e-4,480,9.583333333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__100,Porites porites,TRUE,TRUE,TRUE,FALSE,4.8625,4.8625e-4,480,1.0130208333333332e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__101,Porites porites,TRUE,TRUE,TRUE,FALSE,0.73,7.3e-5,480,1.5208333333333333e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__102,Porites porites,TRUE,TRUE,TRUE,FALSE,5.9225,5.9225e-4,480,1.2338541666666666e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__103,Porites porites,TRUE,TRUE,TRUE,FALSE,10.5125,0.0010512499999999999,480,2.1901041666666664e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__104,Porites porites,TRUE,TRUE,TRUE,FALSE,3.335,3.335e-4,480,6.947916666666666e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__105,Porites porites,TRUE,TRUE,TRUE,FALSE,5.0375,5.0375e-4,480,1.0494791666666666e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__106,Porites porites,TRUE,TRUE,TRUE,FALSE,6.5025,6.5025e-4,480,1.3546875e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__107,Porites porites,TRUE,TRUE,TRUE,FALSE,4.435,4.4349999999999994e-4,480,9.239583333333331e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__108,Porites porites,TRUE,TRUE,TRUE,FALSE,6.185,6.184999999999999e-4,480,1.2885416666666663e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__109,Porites porites,TRUE,TRUE,TRUE,FALSE,7.61,7.610000000000001e-4,480,1.5854166666666667e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__11,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,4.7125,4.7125000000000004e-4,480,9.817708333333335e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__110,Porites porites,TRUE,TRUE,TRUE,FALSE,1.41,1.4099999999999998e-4,480,2.9374999999999996e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__111,Porites porites,TRUE,TRUE,TRUE,FALSE,1.1675,1.1674999999999999e-4,480,2.4322916666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__112,Porites porites,TRUE,TRUE,TRUE,FALSE,9.4,9.400000000000001e-4,480,1.9583333333333337e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__113,Porites porites,TRUE,TRUE,TRUE,FALSE,2.54,2.54e-4,480,5.291666666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__114,Porites porites,TRUE,TRUE,TRUE,FALSE,5.9225,5.9225e-4,480,1.2338541666666666e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__115,Porites porites,TRUE,TRUE,TRUE,FALSE,4.37,4.37e-4,480,9.104166666666667e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__116,Porites porites,TRUE,TRUE,TRUE,FALSE,5.0375,5.0375e-4,480,1.0494791666666666e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__117,Porites porites,TRUE,TRUE,TRUE,FALSE,5.345,5.344999999999999e-4,480,1.1135416666666665e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__118,Porites porites,TRUE,TRUE,TRUE,FALSE,9.5475,9.5475e-4,480,1.9890625e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__119,Porites porites,TRUE,TRUE,TRUE,FALSE,4.4175,4.4175000000000003e-4,480,9.203125000000002e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__12,Montastraea cavernosa,TRUE,TRUE,TRUE,FALSE,5.2575,5.257500000000001e-4,480,1.0953125000000001e-4,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__120,Porites porites,TRUE,TRUE,TRUE,FALSE,4.2175,4.2175000000000003e-4,480,8.786458333333334e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__121,Porites porites,TRUE,TRUE,TRUE,FALSE,3.9,3.9e-4,480,8.125e-5,cm2
Plot C,all,Plot C,2,April,2026-04-03,interval_end,0-0__122,Porites porites,TRUE,TRUE,TRUE,FALSE,5.67,5.67e-4,480,1.18125e-4,cm2
