plot,plot_section,plot_section_label,month,month_order,survey_date,observation_source,genet,tag,genotype,species,plot_area_m2,taglab_area_units,area,area_m2,present,snapshot_object_id,n_duplicate_observations
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__0,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__0,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__1,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__1,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__10,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__10,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__100,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__100,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__101,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__101,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__102,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__102,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__103,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__103,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__104,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__104,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__105,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__105,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__106,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__106,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__107,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__107,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__108,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__108,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__109,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__109,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__11,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__11,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__110,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__110,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__111,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__111,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__112,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__112,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__113,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__113,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__114,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__114,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__115,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__115,1
Plot C,all,Plot C,November,1,2025-11-03,baseline_start,0-0__116,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C__1__baseline_start__0-0__116,1
