plot,plot_section,plot_section_label,month,month_order,survey_date,observation_source,genet,tag,genotype,species,plot_area_m2,taglab_area_units,area,area_m2,present,snapshot_object_id,n_duplicate_observations
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,0,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__0,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,1,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__1,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,10,NA,NA,Montastraea cavernosa,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__10,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,100,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__100,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,101,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__101,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,102,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__102,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,103,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__103,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,104,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__104,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,105,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__105,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,106,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__106,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,107,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__107,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,108,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__108,1
Plot C,0-0,Plot C 0-0,November,1,2025-11-03,baseline_start,109,NA,NA,Porites porites,480,cm2,0,0,FALSE,Plot C 0-0__1__baseline_start__109,1
