plot,plot_section,plot_section_label,month_order,month,n_outplants_present,total_outplant_area_m2,plot_area_m2,percent_outplant_cover
Plot C,all,Plot C,2,April,554,0.36296299999999965,480,0.0756172916666666
Plot C,all,Plot C,3,June,530,0.31367300000000015,480,0.06534854166666669
Plot E,all,Plot E,1,May,271,0.27878074999999997,480,0.058079322916666655
Plot E,all,Plot E,2,June,239,0.24506950000000002,480,0.05105614583333334
Plot E,all,Plot E,3,July,218,0.22352875000000003,480,0.04656848958333334
Plot E,all,Plot E,4,August,222,0.23482700000000015,480,0.0489222916666667
Plot E,all,Plot E,5,September,55,0.07154875000000002,480,0.014905989583333338
Plot E,all,Plot E,6,October,54,0.07165699999999998,480,0.014928541666666663
Plot E,all,Plot E,7,November,56,0.07479625,480,0.015582552083333333
Plot G,all,Plot G,2,April,45,0.05900500000000001,480,0.012292708333333336
Plot G,all,Plot G,3,May,45,0.05925324999999999,480,0.012344427083333331
