plot,plot_section,plot_section_label,month_order,month,survey_date,n_surviving_from_baseline,n_died_interval,baseline_surviving_area_m2,cumulative_deaths_observed,baseline_month,baseline_date,n_baseline,percent_cumulative_survival,percent_cumulative_survival_low,percent_cumulative_survival_high
Plot C,0-0,Plot C 0-0,2,April,2026-04-03,301,0,0.1964165,0,April,2026-04-03,301,100,98.78193782645076,100
Plot C,0-0,Plot C 0-0,3,June,2026-06-06,293,8,0.18333225,8,April,2026-04-03,301,97.3421926910299,94.8304259707054,98.84571395171378
Plot C,1-0,Plot C 1-0,2,April,2026-04-03,253,0,0.16654650000000004,0,April,2026-04-03,253,100,98.55252302930758,100
Plot C,1-0,Plot C 1-0,3,June,2026-06-06,233,20,0.12632924999999998,20,April,2026-04-03,253,92.09486166007905,88.05507966279309,95.10460629117844
Plot E,1-0,Plot E 1-0,1,May,2025-05-07,210,0,0.21669850000000007,0,May,2025-05-07,210,100,98.25872917321364,100
Plot E,1-0,Plot E 1-0,2,June,2025-06-09,181,29,0.1886927500000001,29,May,2025-05-07,210,86.19047619047619,80.77289224099478,90.5525595718134
Plot E,1-0,Plot E 1-0,3,July,2025-07-11,163,18,0.16780400000000004,47,May,2025-05-07,210,77.61904761904762,71.37319340814095,83.0676015980536
Plot E,1-0,Plot E 1-0,4,August,2025-08-04,160,3,0.16644375000000008,50,May,2025-05-07,210,76.19047619047619,69.8438879489424,81.78181266473885
Plot E,1-1,Plot E 1-1,1,May,2025-05-07,61,0,0.06208225,0,May,2025-05-07,61,100,94.13187760677074,100
Plot E,1-1,Plot E 1-1,2,June,2025-06-09,55,6,0.055176499999999996,6,May,2025-05-07,61,90.1639344262295,79.81038081456299,96.30400051221481
Plot E,1-1,Plot E 1-1,3,July,2025-07-11,54,1,0.055186000000000006,7,May,2025-05-07,61,88.52459016393442,77.77507914635025,95.25977428535825
Plot E,1-1,Plot E 1-1,4,August,2025-08-04,53,1,0.06530850000000002,8,May,2025-05-07,61,86.88524590163935,75.78413113166378,94.16394941602594
Plot E,1-1,Plot E 1-1,5,September,2025-09-08,53,0,0.07075725000000002,8,May,2025-05-07,61,86.88524590163935,75.78413113166378,94.16394941602594
Plot E,1-1,Plot E 1-1,6,October,2025-10-14,53,0,0.07133874999999998,8,May,2025-05-07,61,86.88524590163935,75.78413113166378,94.16394941602594
Plot E,1-1,Plot E 1-1,7,November,2025-11-06,53,0,0.07384025,8,May,2025-05-07,61,86.88524590163935,75.78413113166378,94.16394941602594
Plot G,0-0,Plot G 0-0,2,April,2026-04-24,21,0,0.028341500000000002,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,0-0,Plot G 0-0,3,May,2026-05-26,21,0,0.028127500000000003,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,0-1,Plot G 0-1,2,April,2026-04-24,3,0,0.00427125,0,April,2026-04-24,3,100,29.240177382128667,100
Plot G,0-1,Plot G 0-1,3,May,2026-05-26,3,0,0.0041895000000000005,0,April,2026-04-24,3,100,29.240177382128667,100
Plot G,1-0,Plot G 1-0,2,April,2026-04-24,21,0,0.026392249999999996,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,1-0,Plot G 1-0,3,May,2026-05-26,21,0,0.026936250000000002,0,April,2026-04-24,21,100,83.89023847809204,100
