plot,plot_section,plot_section_label,shared_month_order,shared_month,previous_end_n,next_start_n,in_both_snapshots,missing_from_next_start,new_in_next_start,species_mismatches,area_mismatches,max_abs_area_difference
Plot C,0-0,Plot C 0-0,2,April,301,298,295,6,3,0,1,10.325
Plot C,1-0,Plot C 1-0,2,April,253,237,237,16,0,0,0,0
Plot E,1-0,Plot E 1-0,2,June,184,174,174,10,0,0,0,0
Plot E,1-0,Plot E 1-0,3,July,164,170,164,0,6,0,0,0
Plot E,1-1,Plot E 1-1,2,June,55,55,55,0,0,0,0,0
Plot E,1-1,Plot E 1-1,3,July,54,54,54,0,0,0,0,0
Plot E,1-1,Plot E 1-1,4,August,55,55,55,0,0,0,0,0
Plot E,1-1,Plot E 1-1,5,September,55,55,55,0,0,0,0,0
Plot E,1-1,Plot E 1-1,6,October,54,54,54,0,0,0,0,0
Plot G,0-0,Plot G 0-0,2,April,21,21,21,0,0,0,0,0
Plot G,0-1,Plot G 0-1,2,April,3,3,3,0,0,0,0,0
Plot G,1-0,Plot G 1-0,2,April,21,21,21,0,0,0,0,0
