plot,plot_section,plot_section_label,month_order,month,species,n_outplants,percent_prevalence,total_outplant_area_m2,percent_cover_within_outplants,mean_depth_ft,min_depth_ft,max_depth_ft,depth_range_ft,mean_depth_m,min_depth_m,max_depth_m,depth_range_m
Plot C,all,Plot C,2,April,Montastraea cavernosa,169,30.505415162454874,0.07703674999999999,21.224408548529738,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,2,April,Orbicella annularis,43,7.76173285198556,0.04719125000000002,13.001669591666374,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,2,April,Orbicella faveolata,25,4.512635379061372,0.04134424999999999,11.390761592779429,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,2,April,Orbicella franksi,124,22.382671480144403,0.085694,23.609569019431735,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,2,April,Porites porites,192,34.65703971119134,0.11167350000000001,30.767185636001468,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,2,April,Unidentified coral,1,0.18050541516245489,2.3250000000000003e-5,0.006405611591264125,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,3,June,Montastraea cavernosa,167,31.50943396226415,0.06463424999999995,20.60561476442026,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,3,June,Orbicella annularis,42,7.9245283018867925,0.05079824999999998,16.194651755171783,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,3,June,Orbicella faveolata,23,4.339622641509434,0.04619775,14.727996990496479,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,3,June,Orbicella franksi,118,22.264150943396228,0.06854474999999999,21.852295224644774,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot C,all,Plot C,3,June,Porites porites,180,33.9622641509434,0.083498,26.6194412652667,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104
Plot E,all,Plot E,1,May,Acropora cervicornis,14,5.166051660516605,0.008781999999999998,3.1501457686730516,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Acropora palmata,55,20.29520295202952,0.10283025000000003,36.88570677853475,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Orbicella annularis,110,40.59040590405904,0.098273749999999993,35.25126824574509,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Orbicella faveolata,29,10.70110701107011,0.019506,6.996896306506097,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Orbicella franksi,63,23.247232472324722,0.04938875,17.715982900541018,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Acropora cervicornis,12,5.02092050209205,0.00919825,3.7533230369344217,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Acropora palmata,25,10.460251046025105,0.05678974999999999,23.172916254368662,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Orbicella annularis,110,46.02510460251046,0.10352849999999998,42.24454695504745,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Orbicella faveolata,29,12.133891213389122,0.0205665,8.392109177192596,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Orbicella franksi,63,26.359832635983263,0.054986499999999994,22.437104576456885,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Acropora cervicornis,12,5.504587155963303,0.009599749999999999,4.29463771438797,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Acropora palmata,19,8.715596330275229,0.04925274999999999,22.03419023280003,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Orbicella annularis,95,43.57798165137615,0.08468449999999997,37.8852832130095,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Orbicella faveolata,29,13.302752293577981,0.021606,9.665870721327794,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Orbicella franksi,63,28.89908256880734,0.058385750000000014,26.1200181184747,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Acropora cervicornis,12,5.405405405405405,0.007899,3.363752890425717,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Acropora palmata,16,7.207207207207207,0.05759949999999999,24.52848267022105,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella annularis,100,45.04504504504504,0.08903675,37.91589127315002,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella faveolata,29,13.063063063063064,0.021633250000000007,9.212420207216379,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella franksi,63,28.37837837837838,0.057941000000000006,24.673908877599253,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella sp.,2,0.9009009009009009,7.175e-4,0.30554408138757466,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,5,September,Acropora palmata,6,10.909090909090908,0.0408115,57.04012998130646,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
